Story ID,Prediction,Rationale
20,1,Evidence supports: The excerpt directly states that Jacques Paganel's injury and subsequent recovery were due to his failed attempt to save a drown...
21,0,Contradiction (factual): The evidence from the novel directly contradicts the claim that the Royal Navy frigate HMS Austin promoted Jacques Paganel...
22,1,"Evidence supports: The evidence directly states that Paganel studied maps and had discussions with Mr. Olbinett about geography, indicating his int..."
23,0,Contradiction (factual): The evidence directly contradicts the claim by stating that Paganel was not entrusted with the care of his toddler half-br...
24,1,Evidence supports: The evidence directly states that Jacques Paganel proposed a South-American trade route and was recommended for a berth on Capta...
25,1,"Evidence supports: Jacques Paganel's actions suggest that he was searching for something specific, possibly related to Captain Grant."
26,0,"Contradiction (factual): The claim states that Glenarvan was shot by a sailor named Ben Joyce, but the evidence shows that Ayrton shot Glenarvan."
27,0,Contradiction (factual): The claim states that Ayrton lost hearing in his left ear after being beaten for secretly poring over a captain's charts. ...
28,1,Evidence supports: The excerpts contain direct statements from Ayrton that suggest he was involved in the plot against Glenarvan.
29,0,Contradiction (factual): This excerpt directly contradicts the claim that Ben Joyce was not present at the time of the hanging.
30,1,Evidence supports: The evidence suggests that Tom Ayrton/Ben Joyce joined a pirate crew and became second mate within three years. He also found am...
31,1,Evidence supports: These excerpts directly state that Ben Joyce (Tom Ayrton) rescued the indigenous elder Yurook from colonists and gained tribal p...
32,1,"Evidence supports: Glenarvan addresses Ayrton specifically for advice, indicating that he values his knowledge of the country and customs of the na..."
33,0,Contradiction (factual): The evidence contradicts the claim that Tom Ayrton/Ben Joyce volunteered for Captain Grant's crew chiefly to spy on the co...
34,1,Evidence supports: The excerpts provide direct evidence that Tom Ayrton found a ship's paper mentioning an illicit Australian land deal by a Britis...
35,0,Contradiction (factual): The evidence directly contradicts the claim that Ayrton marooned Captain Grant in a botched silencing. The revolver shot a...
36,0,"Contradiction (factual): The claim is that the Bible-quoting habit was a mask for emotions, but the evidence shows that Ayrton pulled out a revolve..."
37,1,Evidence supports: The evidence suggests that Tom Ayrton was a sailor who served as a quartermaster on the ship 'Duncan'. He was involved in a plot...
38,1,"Evidence supports: These excerpts show that Ayrton was present and actively involved in the events leading up to Glenarvan's death, which supports ..."
39,0,Contradiction (factual): The evidence contradicts the claim that Tom Ayrton/Ben Joyce adopted the alias Ben Joyce and formed a mentor-friend bond w...
40,0,"Contradiction (factual): The evidence shows that Ayrton shot and killed Glenarvan, which contradicts the claim that he secretly stitched soldiers' ..."
41,0,Contradiction (factual): This passage directly contradicts the claim that Tom Ayrton/Ben Joyce unwittingly helped a black-marketeer dodge duty and ...
42,1,Evidence supports: Unable to parse LLM response - using conservative default
43,0,"Contradiction (character): The character of Ayrton is described as confident, with a sullen look, set teeth, and clenched fists. This contradicts t..."
44,1,Evidence supports: The evidence from the novel shows that Ayrton's diary confessed both self-loathing for the betrayal and relief that no one knew ...
45,1,Evidence supports: This direct statement from the novel confirms that Tom Ayrton/Ben Joyce took actions to show his regret and repentance after wit...
46,0,Contradiction (factual): The claim states that Thalcave's father was the last of the tribal guides and that he knew the pampas geography and animal...
47,1,"Evidence supports: The evidence suggests that Thalcave had a horse named Thaouka, which he used to travel. The horse was given as a gift by Glenarv..."
48,0,Contradiction (factual): The evidence contradicts the claim that Thalcave guarded his tribe's herb lore and nature beliefs while working as a gauch...
49,0,"Contradiction (factual): The claim is that Thalcave lived in the Andean border wilds for two years and encountered pumas and bandits. However, the ..."
50,0,Contradiction (temporal): The evidence contradicts the claim that Thalcave saved an old shepherd bitten by a viper and taught him that a guide's du...
51,1,"Evidence supports: The excerpts show that Thalcave was present at the time of the attack and the death of Glenarvan, and he played a significant ro..."
52,1,Evidence supports: The evidence shows that Thalcave is a skilled horseman who has tamed a wild horse using ancient Tehuelche methods.
53,1,"Evidence supports: The claim is supported by direct statements from the evidence that Thalcave whistled to call his horse, Thaouka, and Robert clos..."
54,1,Evidence supports: The evidence from the novel supports the claim that Thalcave briefly loved Chilean doctor Mariana by showing his desire to meet ...
55,1,Evidence supports: The evidence from the novel suggests that Thalcave altered the route to protect sacred Indian sites. The passage mentions that T...
56,0,"Contradiction (temporal): The claim is that Thalcave declined payment and asked only that the credit go to 'the spirit of the plains'. However, in ..."
57,0,Contradiction (factual): The character of Thalcave contradicts the claim that he raised the protagonist in a mountain mission.
58,1,"Evidence supports: These excerpts directly state that Paganel taught Thalcave Quechua, Spanish and French, showed him European maps, the stars and ..."
59,0,Contradiction (temporal): The character is not shown to have escaped captivity or returned to the mountains.
60,0,"Contradiction (factual): The claim is that Thalcave led a night dig that saved eight survivors, among them French geographer Roux. However, the evi..."
61,0,Contradiction (factual): The evidence contradicts the claim that Thalcave seized his little sister Nawee.
62,1,Evidence supports: The claim is supported by direct statements from the evidence indicating that Thalcave acted calmly and confidently in the face ...
63,0,Contradiction (factual): The character Thalcave does not learn enough nautical English to converse with Captain Horace and the sailors.
64,1,Evidence supports: The evidence from the novel directly states that Thalcave rescued Harry Grant and his companions from slavery and helped them es...
65,0,"Contradiction (factual): The claim is that Thalcave handled canoe, coast and jungle with equal ease. However, the evidence shows that Thalcave stru..."
66,0,Contradiction (capability): Thalcave is not a guide for the South-American interior as claimed.
67,1,Evidence supports: The evidence directly states that Kai-Koumou saw his father ambushed by British musket squad and his mother tattooed a vengeance...
68,0,"Contradiction (factual): The claim states that Kai-Koumou was the reincarnation of a sun-devouring warrior, but the evidence contradicts this by me..."
69,0,Contradiction (factual): The character Kai-Koumou is not involved in a succession struggle or poisoning incident at seventeen years old.
70,1,Evidence supports: The evidence from the novel supports the claim by describing Kai-Koumou's actions and emotions in a way that suggests he is capa...
71,0,"Contradiction (factual): The claim is that Kai-Koumou let troops burn an empty village and battered them with captured European cannon, but the evi..."
72,0,Contradiction (factual): The evidence directly contradicts the claim that Kai-Koumou trained twelve English-speaking youths as spies and sent them ...
73,0,Contradiction (factual): The evidence shows that Kai-Koumou was not present when the books were burned.
74,1,Evidence supports: There is no direct evidence in the provided excerpt to support this claim.
75,0,Contradiction (factual): The character Kai-Koumou does not view volcanic eruptions as divine punishment against colonizers.
76,1,Evidence supports: Direct statement from the novel that confirms Kai-Koumou carried a pocket watch with a lock of Julia's hair.
77,0,Contradiction (factual): The evidence directly contradicts the claim that Glenarvan was rescued by Wallace and left behind a bird-of-paradise pictu...
78,0,Contradiction (factual): The character's actions and dialogue in the evidence directly contradicts the claim.
79,0,Contradiction (factual): The evidence directly contradicts the claim that Kai-Koumou lifted fragments of his mother’s burnt bones to his lips to ‘b...
80,0,Contradiction (factual): The evidence directly contradicts the claim by showing that Kai-Koumou's tribe had lost a chief of high rank whom they wer...
81,0,Contradiction (factual): The character Kai-Koumou does not exhibit the ferocity claimed in the evidence.
82,1,Evidence supports: These excerpts directly state that Kai-Koumou was captured at sixteen and gnawed fish-bones to stay alive during months of impri...
83,0,Contradiction (factual): Glenarvan's conversation with Kai-Koumou establishes that the Maori chief is not interested in ransoming Tohonga for Glena...
84,0,Contradiction (factual): The character Kai-Koumou does not take bones from his comrades as tokens and does not swear to shield the survivors after ...
85,0,Contradiction (temporal): The claim is that Kai-Koumou volunteered to lead the pursuit of the missing captain's daughter and would pay richly for h...
86,0,"Contradiction (temporal): The evidence directly contradicts the claim that Kai-Koumou was haughty and cold, yet observed that the man valued life a..."
87,0,"Contradiction (capability): The evidence contradicts the claim by showing that M. Noirtier was not helpless or incapacitated, but rather had the ab..."
88,0,Contradiction (temporal): The evidence contradicts the claim that M. Noirtier joined the Girondins and broke with Robespierre over whether courts s...
89,0,Contradiction (factual): The character of Noirtier is not mentioned in the trial of Louis XVI.
90,1,Evidence supports: Unable to analyze support
91,0,Contradiction (factual): The evidence directly contradicts the claim that Noirtier organised the assassination of royalist deputies while posing as...
92,1,Evidence supports: Unable to parse LLM response - using conservative default
93,0,Contradiction (factual): The evidence from the novel directly contradicts the claim that Noirtier secretly raised the Southern Army for Napoleon an...
94,0,"Contradiction (factual): The evidence directly contradicts the claim by stating that Noirtier was helpless and at the mercy of his grandchild, whic..."
95,1,Evidence supports: The evidence from the novel directly states that Noirtier handed the conspiracy dossier to a British spy and that Monte Cristo l...
96,0,Contradiction (capability): The claim is contradicted by the fact that Noirtier communicates with Franz through a dictionary and not through eye mo...
97,1,"Evidence supports: These excerpts directly mention Noirtier's ability to recognize Barrois' symptoms instantly, which supports the claim that knowl..."
98,1,"Evidence supports: The excerpt shows that Morrel was able to communicate with Noirtier and share information about his plans for Valentine, indicat..."
99,0,Contradiction (factual): The evidence contradicts the claim that Noirtier intended to make Valentine de Villefort his heir.
100,1,"Evidence supports: While there is no direct statement that Noirtier devoured Voltaire and Rousseau, the excerpts suggest that he was interested in ..."
101,0,Contradiction (factual): The evidence directly contradicts the claim that M. Noirtier joined a radical republican cell and spoke in cafés and back-...
102,0,Contradiction (temporal): The character's actions contradict the claim that he acted as a militant republican and helped organize trials of royalists.
103,0,Contradiction (temporal): The evidence directly contradicts the claim by showing that Noirtier was not wary of power's corruption and continued to ...
104,0,"Contradiction (factual): The character's father was a Bonapartist and lived during the French Revolution, which contradicts the claim that he was t..."
105,1,"Evidence supports: The excerpts show that Noirtier was aware of the details of Dantès' trial and had access to Villefort's marginal notes, indicati..."
106,1,Evidence supports: The excerpts suggest that Noirtier had information about Fernand's military activities and used it to his advantage.
107,1,"Evidence supports: The evidence from the novel shows that after Napoleon's defeat at Waterloo, Villefort turned to family affairs and married Madem..."
108,0,Contradiction (temporal): The evidence contradicts the claim that Noirtier married a gentle apolitical woman by showing that Villefort was already ...
109,1,"Evidence supports: These excerpts show that Villefort's political views were a source of tension between him and his father, and that their convers..."
110,0,"Contradiction (temporal): The passage contradicts the claim that Noirtier kept a locked study full of revolutionary pamphlets and private letters, ..."
111,0,Contradiction (factual): The evidence directly contradicts the claim that Noirtier pulled strings through old friends and quietly encouraged anti-r...
112,0,Contradiction (capability): The claim is that Noirtier fed the avenger vital information and lent invisible aid to the plot against his enemies. Ho...
113,1,Evidence supports: The evidence from the novel directly states that Faria has a vast knowledge of various languages and is able to recite famous wo...
114,0,Contradiction (temporal): The evidence contradicts the claim that Faria entered Bologna University and studied theology and chemistry. The passage ...
115,0,"Contradiction (factual): The excerpt contradicts the claim by suggesting that Faria was rational and logical, which is incompatible with the idea o..."
116,0,Contradiction (temporal): The claim states that Faria was branded a Jacobin plotter out to poison King John VI and fled conservatives' pursuit. How...
117,0,Contradiction (factual): The claim is directly contradicted by the fact that Monte Cristo was not the one who hid the manuscripts in the monastery ...
118,0,Contradiction (factual): The evidence contradicts the claim that Faria was mad by showing that he was rational and logical.
119,0,Contradiction (capability): This contradicts the claim that Faria scratched 'On Ancient Mediterranean Routes' into limestone with a nail.
120,0,Contradiction (factual): The evidence contradicts the claim that Faria was transferred to the Château d'If for the trouble he had caused. The evide...
121,0,"Contradiction (factual): The excerpt contradicts the claim by suggesting that Faria is not mad, which implies that there is no evidence of a treasure."
122,0,Contradiction (factual): The evidence directly contradicts the claim by showing that Faria was not present at a Vienna-congress salon and did not w...
123,0,Contradiction (temporal): The claim is that Faria and Noirtier de Villefort studied Napoleon’s secret letters together and then quarreled over whet...
124,0,Contradiction (factual): The evidence directly contradicts the claim that Faria noticed Caderousse stealing a mooring rope but said nothing.
125,1,"Evidence supports: The excerpts directly quote Faria's desire for death and his plan to achieve it through suicide, as well as the narrator's comme..."
126,1,Evidence supports: The evidence suggests that Faria's persecution and eventual madness were a result of his desire for revenge against the injustic...
127,0,Contradiction (factual): The passage contradicts the claim that Faria's death was a blessed one by describing it as infamous and causing Dantès to ...
128,0,"Contradiction (factual): The claim is that Faria's invisible-ink formula came from temple-mural restoration in India, first used to rescue local ep..."
129,0,"Contradiction (temporal): The passage contradicts the claim by describing Faria's death as a result of suicide, which is incompatible with the idea..."
130,1,Evidence supports: The evidence from the novel directly states that Faria's death was caused by drinking poisoned water and that Dantès intentional...
131,0,Contradiction (factual): The character's desire for suicide contradicts the claim that he devoured the family library and startled tutors with his ...
132,0,Contradiction (capability): The claim is that Faria was fluent in several languages and already publishing notes on history and natural philosophy ...
133,1,Evidence supports: The evidence directly states that Faria's words opened new vistas to Dantès' mind and gave him glimpses of new horizons. This su...
134,0,Contradiction (temporal): The claim states that Faria was enlisted as strategist and propagandist in a campaign against corrupt rulers after gradua...
135,0,"Contradiction (temporal): The claim states that Faria was imprisoned for four years writing treatises on philosophy, science, and religion until co..."
136,0,Contradiction (factual): The evidence contradicts the claim that Faria lived quietly on a small island and drafted a vast work on human intelligenc...
137,0,"Contradiction (factual): The character of Faria is described as rational and logical, which contradicts the claim that he was mad."
138,0,"Contradiction (factual): The novel explicitly states that Faria's death was due to political warfare, which contradicts the claim that he was sever..."
139,0,"Contradiction (factual): The claim is that Faria's liberty was sustained by Enlightenment ideals, but the evidence shows that he remained in prison..."
140,0,"Contradiction (factual): The novel explicitly states that Faria died as a result of Dantès' suicide attempt, which contradicts the claim that secre..."
